id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
12981,65B,small_airport,Lubec Municipal Airport,44.83660125732422,-67.02700043,85,NA,US,US-ME,Lubec,no,65B,,65B,,,
325845,65NH,heliport,Tucker Farm Heliport,43.208861,-71.916305,1623,NA,US,US-NH,Bradford,no,65NH,,65NH,,,
13017,66B,small_airport,Gillespie Field,45.029622,-67.365967,200,NA,US,US-ME,Meddybemps,no,K66B,,66B,,https://en.wikipedia.org/wiki/Gillespie_Field_(Maine),
324492,66VT,small_airport,Symon Airport,43.882785,-73.2862,300,NA,US,US-VT,Shoreham,no,66VT,,66VT,,,
45452,67ME,heliport,Station-Kel Heliport,43.722825,-70.346667,246,NA,US,US-ME,Westbrook,no,67ME,,67ME,,,
329830,67VT,heliport,Fletcher Allen Health Care Heliport,44.4733367,-73.1888,336,NA,US,US-VT,Burlington,no,67VT,,67VT,,,
13109,68JY,seaplane_base,Hancock Pond Seaplane Base,43.93170166015625,-70.75669861,500,NA,US,US-ME,Denmark,no,68JY,,68JY,,,
329352,68ME,heliport,Maine Medical Center Heliport,43.653964,-70.27695,182,NA,US,US-ME,Portland,no,68ME,,68ME,,,
430425,68NH,heliport,Not Too Dusty Heliport,42.827717,-71.678447,293,NA,US,US-NH,Milford,no,68NH,,68NH,,,
45339,69CT,heliport,The Shore Heliport,41.319917,-71.993167,11,NA,US,US-CT,Mystic,no,69CT,,69CT,,,
533658,69MA,heliport,Monson Heliport,42.071744,-72.321186,598,NA,US,US-MA,Monson,no,69MA,,69MA,,,
13199,6B0,small_airport,Middlebury State Airport,43.986392,-73.09556,490,NA,US,US-VT,Middlebury,no,K6B0,,6B0,,https://en.wikipedia.org/wiki/Middlebury_State_Airport,
13202,6B6,small_airport,Minute Man Air Field,42.460298,-71.519031,268,NA,US,US-MA,Stow,no,K6B6,MMN,6B6,https://minutemanairfield.com/,https://en.wikipedia.org/wiki/Minute_Man_Air_Field,
13355,6MA0,seaplane_base,Lake Gardner Seaplane Base,42.86149978637695,-70.94339752,87,NA,US,US-MA,Amesbury,no,6MA0,,6MA0,,https://en.wikipedia.org/wiki/Lake_Gardner_Seaplane_Base,
13356,6MA1,heliport,Nason Hill Heliport,42.205992,-71.378855,182,NA,US,US-MA,Sherborn,no,6MA1,,6MA1,,,
13357,6MA2,small_airport,Meadowbrook Airport,42.86009979248047,-70.99659729,117,NA,US,US-MA,Amesbury,no,6MA2,,6MA2,,,
13358,6MA3,heliport,Scibelli Heliport,42.06290054321289,-72.72450256,225,NA,US,US-MA,Southwick,no,6MA3,,6MA3,,,
13359,6MA4,heliport,Ferncroft Village Heliport,42.59730148,-70.97029877,200,NA,US,US-MA,Middleton,no,6MA4,,6MA4,,,
13360,6MA5,heliport,Baystate Medical Ctr Heliport,42.12200165,-72.60089874,100,NA,US,US-MA,Springfield,no,6MA5,,6MA5,,,
13361,6MA6,heliport,Cotuit Heliport,41.617045,-70.44327,43,NA,US,US-MA,Cotuit,no,6MA6,,6MA6,,,
13362,6MA7,heliport,Quantum (Shrewsbury) Heliport,42.27289962768555,-71.69259644,545,NA,US,US-MA,Shrewsbury,no,6MA7,,6MA7,,,
13363,6MA8,seaplane_base,Acushnet River Seaplane Base,41.647300720214844,-70.91750336,,NA,US,US-MA,New Bedford,no,6MA8,,6MA8,,,
13364,6MA9,seaplane_base,Cuttyhunk Harbor Seaplane Base,41.423199,-70.927298,0,NA,US,US-MA,Cuttyhunk,no,6MA9,,6MA9,,,
326878,6ME6,small_airport,Abbots Airport,44.353332,-70.395,730,NA,US,US-ME,East Sumner,no,6ME6,,6ME6,,,
